Candidate,FolderName,FullPath,seed,split,geo,geo_base,tightened,variant,metric,mean,std,min,max,n,mask,LatestSnapshot
2,d3il_baseline_ddpm_encdec_vision__Bf_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,0,test,none,none,False,d3il_baseline,context_box_init_xy_x,0.5261693732305006,0.049086216602650945,0.40844082832336426,0.5919983983039856,462,all,20260620_170326
2,d3il_baseline_ddpm_encdec_vision__Bf_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,0,test,none,none,False,d3il_baseline,context_box_init_xy_y,-0.17267940744951174,0.046192655677628126,-0.24710826575756073,-0.10121171176433563,462,all,20260620_170326
2,d3il_baseline_ddpm_encdec_vision__Bf_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,0,test,none,none,False,d3il_baseline,context_final_box_angle_deg,-27.570696157994572,57.58382098344549,-178.42183785256816,173.5926801733528,462,all,20260620_170326
2,d3il_baseline_ddpm_encdec_vision__Bf_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,0,test,none,none,False,d3il_baseline,context_final_box_xy_x,0.5399000755528045,0.0640947006877597,0.40844082832336426,0.7902889157236039,462,all,20260620_170326
2,d3il_baseline_ddpm_encdec_vision__Bf_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,0,test,none,none,False,d3il_baseline,context_final_box_xy_y,-0.0641026367089737,0.23035849111522944,-0.24710825683590215,0.6380774097697166,462,all,20260620_170326
2,d3il_baseline_ddpm_encdec_vision__Bf_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,0,test,none,none,False,d3il_baseline,context_final_xy_dist,0.40901545502719705,0.09486185163212935,0.05270501566093002,0.5573652908601883,462,all,20260620_170326
2,d3il_baseline_ddpm_encdec_vision__Bf_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,0,test,none,none,False,d3il_baseline,context_index,12.337662337662337,7.41917031970613,0.0,25.0,462,all,20260620_170326
2,d3il_baseline_ddpm_encdec_vision__Bf_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,0,test,none,none,False,d3il_baseline,context_init_xy_dist,0.44684769348664716,0.06084306704909721,0.34468892216682434,0.5573652982711792,462,all,20260620_170326
2,d3il_baseline_ddpm_encdec_vision__Bf_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,0,test,none,none,False,d3il_baseline,context_target_angle_deg,1.2874284967199547,47.306614686021554,-86.34280395507812,72.6987075805664,462,all,20260620_170326
2,d3il_baseline_ddpm_encdec_vision__Bf_U3,/u/home/llim/FMPCC/FM-PCC/logs/d3il_visual_aligning_baseline/_DA_VA_BRIDGE_d3il_baseline_Bf_U3/d3il_baseline_ddpm_encdec_vision__Bf_U3,0,test,none,none,False,d3il_baseline,context_target_xy_x,0.48558791891320957,0.0532825218791653,0.4179592430591583,0.5885487198829651,462,all,20260620_170326
