Candidate,Display,Eval_Tag,scene,engine,engine_label,K,mpc_batch,controller,threshold,run_tag,backbone,data_proportion,alpha_init,alpha_end,train_K,horizon,diffusion_cls,model_name,generation,Seeds,N_Seeds,Missing_Seeds,CB_Sentinels,Latest_Snapshot,Snapshot_By_Seed,Full_Path
45,corridor|fm|K3|@u17cv2,Efm_K3_mpc4_pid_stopgo_T0.5_u17cv2,corridor,fm,Flow Matching (Gen11 FMv3ODE),3.0,4.0,pid_stopgo,0.5,u17cv2,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260918_133628,6:20260918_133628,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K3_mpc4_pid_stopgo_T0.5_u17cv2
46,corridor|fm|K5,Efm_K5_mpc4_pid_stopgo_T0.5,corridor,fm,Flow Matching (Gen11 FMv3ODE),5.0,4.0,pid_stopgo,0.5,,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260819_193352,6:20260819_193352,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K5_mpc4_pid_stopgo_T0.5
47,corridor|fm|K5|@u17cv2,Efm_K5_mpc4_pid_stopgo_T0.5_u17cv2,corridor,fm,Flow Matching (Gen11 FMv3ODE),5.0,4.0,pid_stopgo,0.5,u17cv2,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260918_152727,6:20260918_152727,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K5_mpc4_pid_stopgo_T0.5_u17cv2
48,corridor|fm|K5|@u7hg,Efm_K5_mpc4_pid_stopgo_T0.5_u7hg,corridor,fm,Flow Matching (Gen11 FMv3ODE),5.0,4.0,pid_stopgo,0.5,u7hg,,,,,,8,,H8_Dmodels.diffusion.FlowMatchingODE_9D,Gen15,6,1,,0,20260912_012710,6:20260912_012710,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K5_mpc4_pid_stopgo_T0.5_u7hg
49,corridor|mf|K10|bbunet|dp0.5,Emf_K10_mpc4_pid_stopgo_T0.5,corridor,mf,MeanFlow (Gen3v6),10.0,4.0,pid_stopgo,0.5,,unet,0.5,,,,8,,H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet,Gen15,6,1,,0,20260820_171218,6:20260820_171218,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K10_mpc4_pid_stopgo_T0.5
50,corridor|mf|K10|bbunet|dp0.5|@u7hg,Emf_K10_mpc4_pid_stopgo_T0.5_u7hg,corridor,mf,MeanFlow (Gen3v6),10.0,4.0,pid_stopgo,0.5,u7hg,unet,0.5,,,,8,,H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet,Gen15,6,1,,0,20260912_233317,6:20260912_233317,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K10_mpc4_pid_stopgo_T0.5_u7hg
51,corridor|mf|K1|bbunet|dp0.5,Emf_K1_mpc4_pid_stopgo_T0.5,corridor,mf,MeanFlow (Gen3v6),1.0,4.0,pid_stopgo,0.5,,unet,0.5,,,,8,,H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet,Gen15,6,1,,0,20260820_104902,6:20260820_104902,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K1_mpc4_pid_stopgo_T0.5
52,corridor|mf|K1|bbunet|dp0.5|@u17cv2,Emf_K1_mpc4_pid_stopgo_T0.5_u17cv2,corridor,mf,MeanFlow (Gen3v6),1.0,4.0,pid_stopgo,0.5,u17cv2,unet,0.5,,,,8,,H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet,Gen15,6,1,,0,20260913_165535,6:20260913_165535,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K1_mpc4_pid_stopgo_T0.5_u17cv2
53,corridor|mf|K20|bbunet|dp0.5,Emf_K20_mpc4_pid_stopgo_T0.5,corridor,mf,MeanFlow (Gen3v6),20.0,4.0,pid_stopgo,0.5,,unet,0.5,,,,8,,H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet,Gen15,6,1,,0,20260820_220831,6:20260820_220831,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K20_mpc4_pid_stopgo_T0.5
54,corridor|mf|K2|bbunet|dp0.5,Emf_K2_mpc4_pid_stopgo_T0.5,corridor,mf,MeanFlow (Gen3v6),2.0,4.0,pid_stopgo,0.5,,unet,0.5,,,,8,,H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet,Gen15,6,1,,0,20260820_104904,6:20260820_104904,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K2_mpc4_pid_stopgo_T0.5
