Rank,Candidate,Folder,scene,engine,K,hf_degenerate,NFE_effective,Success+Constraint (%),Std (%),Success (%),Success relaxed (%),CollisionFree (%),PhysSafe (%),Time (ms),Gen (ms),Proj (ms),OverBudget (frac),CB tripped (rate),GoalDist_m,StepsToGoal,TrackErr,Pareto,Seeds,Missing_Seeds,Latest_Snapshot
50,3,corridor|Gen11,corridor,,,0.0,,0.0,,0.0,,,,,85.36316920400158,,,0.0,,,75.91310654074263,,1,,
51,4,corridor|Gen11,corridor,,,0.0,,0.0,0.0,0.0,,,,,130.4766541341766,,,0.0,,,20.810860931105903,,1,,
52,5,corridor|Gen11,corridor,,,0.0,,0.0,0.0,0.0,,,,194.53843242125478,86.49825267473574,108.04017974651903,1.0,0.0,,,29.308028695486232,,1,,
53,6,corridor|Gen11,corridor,,,0.0,,0.0,0.0,0.0,,,,264.5599345030029,86.25137026291694,178.30856424008593,1.0,0.0,,,0.037564680285407354,,1,,20260628_100859
54,10,empty|Gen11,empty,,,0.0,,0.0,,100.0,,,,,83.11620051132006,,,0.0,,,0.015687161033293644,,1,,
55,12,pillars|Gen11,pillars,,,0.0,,0.0,,0.0,,,,,83.65242580052686,,,0.0,,,87.26900567048334,,1,,20260628_203215
56,13,pillars|Gen11,pillars,,,0.0,,0.0,0.0,0.0,,,,156.31617696962417,100.79324494802962,55.52293202159454,1.0,0.0,,,0.1530750108767507,,1,,20260628_203216
57,14,pillars|Gen11,pillars,,,0.0,,0.0,0.0,0.0,,,,112.52635427780515,90.79940943712528,21.726944840679874,1.0,0.0,,,0.7481935292658336,,1,,20260629_174035
58,15,pillars|Gen11,pillars,,,0.0,,0.0,0.0,0.0,,,,111.27316238175158,89.88850083415348,21.384661547598107,1.0,0.0,,,0.694461790454377,,1,,20260629_152355
59,16,pillars|K20|Gen11,pillars,,20.0,0.0,20.0,0.0,0.0,0.0,22.307692307692307,0.0,31.538461538461544,1914.7127463519064,85.62699563686714,1829.085750715039,1.0,0.0,2.6044383868743988,,2.65765089628274,,1,,20260706_173205
60,17,pillars|K20|Gen11,pillars,,20.0,0.0,20.0,0.0,0.0,0.0,,,,111.8828810819845,87.77423047312938,24.10865060885512,1.0,0.0,,,1.7441494791051482,,1,,20260702_150659
61,18,pillars|K20|Gen11,pillars,,20.0,0.0,20.0,0.0,0.0,0.0,,,,108.99873955515139,85.20261858172839,23.79612097342302,1.0,0.0,,,1.1228303442314853,,1,,20260702_200754
62,19,pillars|K20|Gen11,pillars,,20.0,0.0,20.0,0.0,0.0,0.0,,,,743.0929166999528,86.88967369595107,656.2032430040018,1.0,0.0,,,1.919335726275277,,1,,20260704_205253
63,20,pillars|Gen11,pillars,,,0.0,,0.0,0.0,0.0,,,,,176.7882421827827,,,0.0,,,20.682462624062318,,1,,
64,21,pillars|Gen11,pillars,,,0.0,,0.0,0.0,0.0,,,,,179.05146969644247,,,0.0,,,20.682462624062318,,1,,
65,22,pillars|K20|Gen11,pillars,,20.0,0.0,20.0,0.0,0.0,2.1428571428571432,16.428571428571427,0.0,16.428571428571427,920.1685805312096,88.25036845771537,831.9182120734941,1.0,0.0,1.6567253875464902,430.4444444444445,1.7508573860420504,,1,,20260710_213343
66,23,s_curve|Gen11,s_curve,,,0.0,,0.0,0.0,0.0,,,,154.19299735576334,99.27563470748568,54.91736264827766,1.0,0.0,,,0.14646399354620374,,1,,20260628_171438
67,24,s_curve|K20|Gen11,s_curve,,20.0,0.0,20.0,0.0,0.0,0.0,,,,108.31878400123212,85.84187736203695,22.476906639195157,1.0,0.0,,,39.25832672081436,,1,,
