Candidate,Folder_Name,Full_Path,Latest_Snapshot,First_Snapshot,Snapshot_Count,Snapshot_By_Seed,Accuracy,Accuracy_Std,Major_Accuracy,Time_ms,Gen_ms,Proj_ms,NFE_effective,CollisionFree,PhysSafe,GoalDist_m,N_Variants,N_Geos,N_Seeds,Missing_Seeds,scene,engine,K,mpc_batch,controller,threshold,run_tag,backbone,generation
38,corridor|fm|K2|@u7hg,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K2_mpc4_pid_stopgo_T0.5_u7hg,20260906_044258,20260906_044258,1,6:20260906_044258,0.9400000000000001,0.09165151389911678,0.9428571428571428,87.59941756173856,17.56168384919111,70.03773371254746,2.0,1.0,1.0,0.46381216919022156,10,1,1,,corridor,fm,2.0,4.0,pid_stopgo,0.5,u7hg,,Gen15
39,corridor|fm|K5,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_fm/H8_Dmodels.diffusion.FlowMatchingODE_9D/Efm_K5_mpc4_pid_stopgo_T0.5,20260819_193352,20260819_193352,1,6:20260819_193352,0.39999999999999997,0.40108548367821956,0.6599999999999999,183.67296656549368,48.28200386894574,135.39096269654792,8.521739130434783,0.39999999999999997,0.5956521739130435,2.3482875970619683,23,1,1,,corridor,fm,5.0,4.0,pid_stopgo,0.5,,,Gen15
40,corridor|mf|K10|bbunet|dp0.5,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K10_mpc4_pid_stopgo_T0.5,20260820_171218,20260815_050702,2,6:20260820_171218,0.3217391304347826,0.36110521378862803,0.5800000000000001,336.4222950134895,97.30796306951925,239.11433194397026,16.52173913043478,0.3217391304347826,0.4739130434782609,10.81244145326597,23,1,1,,corridor,mf,10.0,4.0,pid_stopgo,0.5,,unet,Gen15
41,corridor|mf|K1|bbunet|dp0.5,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K1_mpc4_pid_stopgo_T0.5,20260820_104902,20260820_104902,1,6:20260820_104902,0.10434782608695654,0.20103700907298938,0.22000000000000003,233.59245633386487,11.04276505101644,222.54969128284839,1.9130434782608696,0.10434782608695654,0.18260869565217389,17.516003919093087,23,1,1,,corridor,mf,1.0,4.0,pid_stopgo,0.5,,unet,Gen15
42,corridor|mf|K20|bbunet|dp0.5,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K20_mpc4_pid_stopgo_T0.5,20260820_220831,20260820_220831,1,6:20260820_220831,0.295,0.3247691487810996,0.48571428571428577,421.57900133220585,179.0230631047689,242.5559382274369,20.0,0.295,0.45,13.322067957142618,20,1,1,,corridor,mf,20.0,4.0,pid_stopgo,0.5,,unet,Gen15
43,corridor|mf|K2|bbunet|dp0.5,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K2_mpc4_pid_stopgo_T0.5,20260820_104904,20260820_104904,1,6:20260820_104904,0.13043478260869568,0.20309514285437674,0.24000000000000005,251.62635594410932,19.849426744182434,231.776929199927,3.3043478260869565,0.13043478260869568,0.1826086956521739,17.226868661274242,23,1,1,,corridor,mf,2.0,4.0,pid_stopgo,0.5,,unet,Gen15
44,corridor|mf|K2|bbunet|dp0.5|@u7hg,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K2_mpc4_pid_stopgo_T0.5_u7hg,20260906_062957,20260906_062957,1,6:20260906_062957,1.0,0.0,1.0,82.94473240290597,18.194729912471253,64.75000249043474,2.0,1.0,1.0,0.2910055247650618,10,1,1,,corridor,mf,2.0,4.0,pid_stopgo,0.5,u7hg,unet,Gen15
45,corridor|mf|K5|bbunet|dp0.5,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_mf/H8_Dmodels.mf_diffusion.MeanFlowODE_9D_dp0.5_bbunet/Emf_K5_mpc4_pid_stopgo_T0.5,20260820_164530,20260820_164530,1,6:20260820_164530,0.23913043478260865,0.28397662248361616,0.37,241.0502120529601,49.21762892332449,191.83258312963557,8.521739130434783,0.23913043478260865,0.38260869565217387,12.605747857674594,23,1,1,,corridor,mf,5.0,4.0,pid_stopgo,0.5,,unet,Gen15
46,pillars|af|K1|bbunet|@EPlatest_u6unet_ae02,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0.2_bbunet/Eaf_K1_mpc4_pid_stopgo_T0.5_EPlatest_u6unet_ae02,20260905_015012,20260905_015012,1,6:20260905_015012,0.0,0.0,0.0,69.21303558052372,9.3302741837672,59.88276139675651,1.0,0.0,0.5,0.5086113571320671,10,1,1,,pillars,af,1.0,4.0,pid_stopgo,0.5,EPlatest_u6unet_ae02,unet,Gen15
47,pillars|af|K1|bbunet|@EPlatest_u7hg,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-pillars/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0.2_bbunet/Eaf_K1_mpc4_pid_stopgo_T0.5_EPlatest_u7hg,20260907_075325,20260907_075325,1,6:20260907_075325,0.06,0.08,0.05714285714285715,67.8810495394376,9.451369556244567,58.429679983193026,1.0,0.14,1.0,0.6017964688916411,10,1,1,,pillars,af,1.0,4.0,pid_stopgo,0.5,EPlatest_u7hg,unet,Gen15
