[2026-04-23T13:40:25.703495] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:25.771192] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:25.853634] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:25.923266] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:26.011787] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:26.095427] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:26.176354] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:26.278093] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:26.547224] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:26.683224] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:26.760160] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:26.828321] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:26.896627] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:26.974364] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:27.075514] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:27.160024] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:27.267433] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:27.375425] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:27.677794] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:27.803950] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:27.898563] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:28.004318] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:28.093569] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:28.175645] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:28.240333] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:28.312965] loop_idx=7, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:28.398710] loop_idx=8, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:28.465630] loop_idx=9, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:28.624674] loop_idx=0, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:28.697546] loop_idx=1, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:28.761451] loop_idx=2, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:28.817507] loop_idx=3, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:28.874683] loop_idx=4, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:28.931100] loop_idx=5, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:28.995797] loop_idx=6, backend=torchdiffeq, method=rk4
[2026-04-23T13:40:29.060384] loop_idx=7, backend=torchdiffeq, method=rk4
