seed,variant,constraint_type,halfspace_variant,metric,value,Candidate,Folder_Name
6,dpcc-c-tightened,halfspace,top-right-hard,collision_free_completed,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-right-hard,collision_free_completed_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-left-hard,n_success,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-left-hard,n_success_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-left-hard,n_success_and_constraints,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-left-hard,n_success_and_constraints_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-left-hard,n_steps,63.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-left-hard,n_steps_std,7.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-left-hard,n_violations,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-left-hard,n_violations_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-left-hard,total_violations,4.1168183077811005e-08,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-left-hard,total_violations_std,1.2926757338160844e-09,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-left-hard,avg_time,0.32536502593240024,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-left-hard,avg_time_std,0.021875264239263253,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-left-hard,collision_free_completed,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,top-left-hard,collision_free_completed_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,both-hard,n_success,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,both-hard,n_success_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,both-hard,n_success_and_constraints,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,both-hard,n_success_and_constraints_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,both-hard,n_steps,56.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,both-hard,n_steps_std,2.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,both-hard,n_violations,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,both-hard,n_violations_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-c-tightened,halfspace,both-hard,total_violations,3.2156705848454537e-08,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
