Rank,Candidate,Folder,Accuracy (%),Accuracy Std (%),Time (ms),Time Std (ms),Robustness,Latest_Snapshot
66,194,H8_K5_Meuler_T0.5_Dmodels.diffusion.FlowMatchingODE,72.22222222222221,,0.11112404904204988,,1.3088817645321729,20260716_134138
67,53,H8_K5_Meuler_T0.5_A0.5_B4_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_msgafon005_s6,72.08333333333333,,0.18202214246835385,,40.3169354154883,20260902_091738
68,165,H8_K1_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,72.08333333333333,,0.024215718215696652,,2.1598827124805946,20260811_210631
69,51,H8_K20_Meuler_T0.5_A0.5_B4_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_msgafon005_s6,71.875,,0.7666614998241759,,179.50700892352316,20260902_214153
70,174,H8_K3_Meuler_T0.5_A1_B4_Dflow_matcher_v3_meanflow.models.MeanFlowODE_msghfmink_A1_mfunet_s6,71.875,,0.1179445279187314,,11.764992645488238,20260906_094308
71,178,H8_K5_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE_msg20trials,71.83333333333333,,0.19197592271708563,,25.269099828745965,20260814_112051
72,66,H8_K2_Meuler_T0.5_A0.5_B4_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_msgdpccproto,71.66666666666667,,0.026889263085219422,,0.8399805016447887,20260918_114541
73,180,H8_K5_Meuler_T0.5_A1_B4_Dflow_matcher_v3_meanflow.models.MeanFlowODE_msghfmink_A1_mfunet_s6,71.35416666666667,,0.18630307306787924,,23.634468744731006,20260906_110114
74,195,H8_K5_Meuler_T0.5_Dmodels.diffusion.FlowMatchingODE_msg20trials,71.22222222222221,,0.10557953375138866,,1.9712381874534823,20260819_173831
75,11,H8_K20_T0.5_Dmodels.GaussianDiffusion_msg20trials,70.84848484848484,,0.5195470640029928,,2.216125507835968,20260818_092633
76,36,H8_K5_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,70.83333333333334,,0.1970046923811526,,8.49503580663513,20260730_215118
77,149,H16_K1_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE_msgr8,70.83333333333334,,0.009854107198733588,,1.1767663341211156,20260817_145407
78,177,H8_K5_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,70.83333333333334,,0.1879745639981667,,4.945078273909814,20260811_212930
79,49,H8_K10_Meuler_T0.5_A0.5_B4_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_msgafon005_s6,70.83333333333333,,0.3118429506985606,,65.03075971117353,20260902_132317
80,191,H8_K20_Meuler_T0.5_Dmodels.diffusion.FlowMatchingODE_msg20trials,70.81196581196582,,0.4285318598127959,,1.7868857917458048,20260825_131217
81,62,H8_K1_Meuler_T0.5_A0.5_B4_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_msgafon02_s6,70.55555555555556,,0.017779221456109207,,0.47245845604754927,20260902_002643
82,196,H8_K10_Dmodels.diffusion.GaussianDiffusion,70.55555555555556,,0.18355172235159142,,2.323974764364599,
83,67,H8_K5_Meuler_T0.5_A0.5_B4_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_msgafon02_s6,69.79166666666667,,0.1780411558073166,,31.007858440191765,20260902_031219
84,45,H8_K2_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,69.58333333333333,,0.025453330886224465,,3.298327388684899,20260812_105551
85,13,H8_K20_T1_Dmodels.GaussianDiffusion,69.44444444444446,,1.8759087539979793,,2.613281273094289,20260804_234416
86,199,H8_K20_Meuler_Dmodels.diffusion.GaussianDiffusion,69.44444444444446,,0.49301990236978027,,2.888529208032919,20260507_185238
87,14,X_H8_K20_T0.05_Dmodels.GaussianDiffusion,69.44444444444443,,0.523817799386293,,1.3497737112207657,20260804_135435
88,15,X_H8_K20_T0.1_Dmodels.GaussianDiffusion,69.44444444444443,,0.518585280711196,,1.3497419461750748,20260804_103242
89,16,X_H8_K20_T1_Dmodels.GaussianDiffusion,69.44444444444443,,0.5256820730269127,,1.3498349258742683,20260804_162821
90,189,H8_K20_Meuler_T0.1_Dmodels.diffusion.FlowMatchingODE,69.44444444444443,,0.18968738496934814,,1.027297157752894,20260804_084816
91,193,H8_K2_Meuler_T0.5_Dmodels.diffusion.FlowMatchingODE_msgdpccproto,69.44444444444443,,0.02660651511049596,,1.7912616923287816,20260917_232742
92,64,H8_K20_Meuler_T0.5_A0.5_B4_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_msgafon02_s6,69.16666666666667,,0.758273389054189,,109.97864051067793,20260902_151243
93,192,H8_K2_Meuler_T0.5_Dmodels.diffusion.FlowMatchingODE_msg20trials,69.11111111111111,,0.028226035733612154,,1.64190914570132,20260819_072031
94,32,H8_K10_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,68.75,,0.39325984320881335,,13.113492093527126,20260730_223308
95,147,H8_K5_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,68.75,,0.2217592003101035,,6.079684982126672,20260731_235932
96,162,H8_K10_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,68.33333333333333,,0.3286396809461207,,4.362009263164412,20260811_215412
97,198,H8_K1_Meuler_T0.5_Dmodels.diffusion.GaussianDiffusion,68.33333333333333,,0.018548036005825972,,1.4598089866036768,20260520_210946
98,201,H8_K10_Meuler_Dmodels.diffusion.GaussianDiffusion,68.33333333333333,,0.18497272888690708,,2.049428120359858,20260507_033255
99,187,H8_K1_Meuler_T0.5_Dmodels.diffusion.FlowMatchingODE_msgdpccproto,67.77777777777777,,0.01829037096301726,,1.3983188625521443,20260917_225037
100,190,H8_K20_Meuler_T0.5_Dmodels.diffusion.FlowMatchingODE,67.77777777777777,,0.5251500647330564,,2.231446526375333,20260703_011554
101,200,H8_K5_Mmidpoint_Dmodels.diffusion.GaussianDiffusion,67.77777777777777,,0.1503797588533413,,2.2035084806674634,
102,50,H8_K1_Meuler_T0.5_A0.5_B4_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_msgafon005_s6,66.94444444444444,,0.018302784660065494,,0.5428162431215563,20260902_062918
103,171,H8_K2_Meuler_T0.5_A0.5_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE_msgmpc1,66.66666666666667,,0.027880178300167296,,1.5741870255989028,20260823_222807
104,18,H8_K20_T0.5_Dmodels.GaussianDiffusion_aw1,66.66666666666666,,0.5470724177739555,,1.9240581088997533,20260510_102451
105,73,K2_thres0_mpc1_n2,66.66666666666666,,0.052136827166281124,,3.521114002321926,
106,90,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,66.66666666666666,,0.4959228520052386,,1.5801486856638232,20260616_180446
107,91,H8_K2_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,66.66666666666666,,0.060289406941576064,,0.9066474575120341,20260616_141001
108,121,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,66.66666666666666,,0.387435829152581,,1.1157248993535167,20260715_114457
109,130,H8_K2_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,66.66666666666666,,0.03774597146579633,,1.8188397576865314,20260721_161037
110,137,H8_K20_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,66.66666666666666,,0.9276271775321916,,41.09577882034185,20260730_174107
111,139,H8_K5_Meuler_T0.5_Dflow_matcher_v3_meanflow.models.MeanFlowODE,66.66666666666666,,0.21638348834870308,,5.958607689194609,20260730_162243
112,184,H8_K10_Meuler_T0.05_Dmodels.diffusion.FlowMatchingODE,66.66666666666666,,0.09387530292997691,,1.1147375342751278,20260803_231042
113,185,H8_K10_Meuler_T0.1_Dmodels.diffusion.FlowMatchingODE,66.66666666666666,,0.09415227907446216,,1.1147343704807267,20260803_221426
114,186,H8_K1_Meuler_T0.5_Dmodels.diffusion.FlowMatchingODE_msg20trials,66.44444444444444,,0.020432224460193948,,1.4477645227500782,20260819_012337
115,39,H8_K2_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,65.83333333333334,,0.03336949943954555,,24.313146721003854,20260801_131902
116,59,H8_K2_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,64.58333333333334,,0.0836441704617899,,14.800622238874167,20260808_223953
117,175,H8_K5_Meuler_T0.5_A0.1_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,64.58333333333334,,0.17530143528756936,,3.527820558979812,20260811_224859
118,176,H8_K5_Meuler_T0.5_A0.25_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,64.58333333333334,,0.18187616828660425,,3.9557965060699556,20260811_230534
119,179,H8_K5_Meuler_T0.5_A0_B1_Dflow_matcher_v3_meanflow.models.MeanFlowODE,64.58333333333334,,0.17394246104314892,,3.5278147769990142,20260811_224853
